input:1116 output:59
input:1052 output:26
input:1048 output:27
input:1033 output:25
input:1106 output:25
input:1038 output:26
input:1099 output:57
input:1124 output:29
input:1099 output:61
input:1033 output:28
input:1041 output:24
input:1083 output:18
input:1036 output:36
input:1049 output:29
input:1109 output:26
input:1248 output:65
input:1314 output:21
input:1293 output:62
input:1590 output:91
input:1665 output:16
input:1044 output:62
input:1051 output:27
input:1114 output:68
input:1278 output:80
input:1270 output:54
input:1277 output:45
input:1274 output:77
input:1276 output:46
input:1256 output:83
input:1544 output:113
